Date,Open,High,Low,Close,Adj Close,Volume
2021-03-08,8.530000,9.480000,8.310000,9.290000,9.290000,114343800
2021-03-09,9.380000,10.770000,9.220000,10.500000,10.500000,150415600
2021-03-10,11.020000,12.470000,9.510000,9.850000,9.850000,261918600
2021-03-11,10.650000,10.870000,9.900000,10.280000,10.280000,83933600
2021-03-12,10.160000,11.400000,9.940000,11.160000,11.160000,111146700
2021-03-15,12.180000,14.490000,11.850000,14.040000,14.040000,277713300
2021-03-16,13.620000,13.620000,12.340000,13.020000,13.020000,125967600
2021-03-17,13.240000,13.660000,13.000000,13.560000,13.560000,78053600
2021-03-18,14.340000,14.540000,13.570000,14.000000,14.000000,121418000
2021-03-19,14.140000,14.180000,13.280000,13.930000,13.930000,153206000
2021-03-22,13.150000,13.190000,11.760000,12.490000,12.490000,88760100
2021-03-23,11.460000,11.930000,10.370000,10.660000,10.660000,87923200
2021-03-24,10.820000,11.210000,8.930000,9.020000,9.020000,81850700
2021-03-25,8.960000,11.320000,8.950000,10.940000,10.940000,131192800
2021-03-26,11.270000,11.530000,10.010000,10.240000,10.240000,84633100
2021-03-29,10.320000,10.760000,10.090000,10.350000,10.350000,37330700
2021-03-30,10.310000,10.520000,9.760000,10.350000,10.350000,39020500
2021-03-31,10.400000,10.470000,10.050000,10.210000,10.210000,29832300
2021-04-01,10.230000,10.260000,9.150000,9.360000,9.360000,77473900
2021-04-05,10.100000,11.250000,9.720000,10.610000,10.610000,96082300
2021-04-06,10.400000,10.500000,10.000000,10.200000,10.200000,44067000
2021-04-07,10.070000,10.180000,9.850000,9.850000,9.850000,28804300
2021-04-08,10.010000,10.010000,9.500000,9.790000,9.790000,33408700
2021-04-09,9.600000,9.740000,9.240000,9.420000,9.420000,29254600
2021-04-12,9.440000,9.490000,8.510000,8.620000,8.620000,51269800
2021-04-13,8.660000,9.120000,8.310000,8.840000,8.840000,44049100
2021-04-14,9.000000,9.810000,8.900000,9.350000,9.350000,51166300
2021-04-15,9.880000,10.230000,9.580000,9.900000,9.900000,45198900
2021-04-16,10.000000,10.030000,9.090000,9.330000,9.330000,40696700
2021-04-19,9.480000,9.810000,9.380000,9.660000,9.660000,32814300
2021-04-20,9.700000,9.710000,9.010000,9.280000,9.280000,27008900
2021-04-21,9.250000,9.810000,9.140000,9.780000,9.780000,23598200
2021-04-22,9.950000,10.650000,9.790000,9.990000,9.990000,49923500
2021-04-23,10.090000,10.380000,9.960000,10.160000,10.160000,27465600
2021-04-26,10.690000,11.960000,10.570000,11.500000,11.500000,78592900
2021-04-27,11.680000,12.220000,11.220000,11.460000,11.460000,51629800
2021-04-28,10.850000,11.390000,10.650000,10.850000,10.850000,39720500
2021-04-29,10.950000,11.040000,10.090000,10.200000,10.200000,37782900
2021-04-30,10.070000,10.180000,9.880000,10.030000,10.030000,27741000
2021-05-03,10.110000,10.120000,9.610000,9.710000,9.710000,31251200
2021-05-04,9.630000,9.750000,9.050000,9.390000,9.390000,35222400
2021-05-05,9.410000,9.570000,9.080000,9.170000,9.170000,27608700
2021-05-06,9.330000,9.400000,8.930000,9.000000,9.000000,39586300
2021-05-07,9.320000,9.790000,9.140000,9.510000,9.510000,38245000
2021-05-10,9.900000,10.150000,9.560000,9.740000,9.740000,41015300
2021-05-11,9.930000,10.480000,9.600000,10.050000,10.050000,49601000
2021-05-12,10.030000,10.630000,10.020000,10.320000,10.320000,54423500
2021-05-13,10.880000,14.200000,10.640000,12.770000,12.770000,296525000
2021-05-14,13.310000,14.340000,12.570000,12.980000,12.980000,207589900
2021-05-17,13.670000,14.380000,13.390000,13.950000,13.950000,158933100
2021-05-18,14.250000,14.670000,13.570000,14.030000,14.030000,172488400
2021-05-19,12.950000,13.310000,12.140000,12.640000,12.640000,89024100
2021-05-20,12.590000,12.990000,12.030000,12.550000,12.550000,61419700
2021-05-21,12.610000,12.840000,12.050000,12.080000,12.080000,53937700
2021-05-24,12.380000,13.960000,12.170000,13.680000,13.680000,113319200
2021-05-25,13.610000,16.670000,13.550000,16.410000,16.410000,213644100
2021-05-26,17.760000,19.950001,17.260000,19.559999,19.559999,379064100
2021-05-27,18.610001,29.760000,18.309999,26.520000,26.520000,705545700
2021-05-28,31.809999,36.720001,24.170000,26.120001,26.120001,660623600
2021-06-01,31.889999,33.529999,28.530001,32.040001,32.040001,508694600
2021-06-02,37.520000,72.620003,35.590000,62.549999,62.549999,766462500
2021-06-03,58.099998,68.800003,37.660000,51.340000,51.340000,598142200
2021-06-04,48.790001,57.480000,46.040001,47.910000,47.910000,337710100
2021-06-07,52.380001,59.680000,51.500000,55.000000,55.000000,349094900
2021-06-08,57.160000,60.619999,52.770000,55.049999,55.049999,214490300
2021-06-09,52.200001,53.389999,48.119999,49.340000,49.340000,150361300
2021-06-10,47.930000,51.500000,39.709999,42.810001,42.810001,224860600
2021-06-11,44.680000,49.599998,42.009998,49.400002,49.400002,218006600
2021-06-14,51.830002,60.549999,51.520000,57.000000,57.000000,301467300
2021-06-15,58.389999,64.709999,56.730000,59.040001,59.040001,285582100
2021-06-16,56.139999,57.340000,51.860001,55.180000,55.180000,166450700
2021-06-17,54.000000,63.830002,52.980000,60.730000,60.730000,303576000
2021-06-18,61.259998,64.959999,56.849998,59.259998,59.259998,243645900
2021-06-21,61.340000,63.009998,53.430000,55.689999,55.689999,185876100
2021-06-22,54.099998,58.740002,51.049999,58.270000,58.270000,169494100
2021-06-23,57.040001,61.099998,56.799999,58.299999,58.299999,116291800
2021-06-24,57.980000,58.759998,55.660000,56.700001,56.700001,80351200
2021-06-25,55.750000,56.290001,52.970001,54.060001,54.060001,77596900
2021-06-28,55.099998,59.360001,54.330002,58.110001,58.110001,99310200
2021-06-29,59.060001,61.000000,56.180000,56.430000,56.430000,63604100
2021-06-30,56.000000,58.180000,54.650002,56.680000,56.680000,59020600
2021-07-01,56.860001,57.709999,52.529999,54.220001,54.220001,57549900
2021-07-02,52.770000,53.250000,47.770000,51.959999,51.959999,90271500
2021-07-06,53.459999,55.070000,49.700001,49.959999,49.959999,62370300
2021-07-07,47.700001,48.990002,42.799999,45.070000,45.070000,95320200
2021-07-08,40.950001,49.790001,38.759998,47.939999,47.939999,145078200
2021-07-09,48.369999,48.919998,45.820000,46.189999,46.189999,57858600
2021-07-12,44.290001,46.549999,42.070000,42.610001,42.610001,62986400
2021-07-13,40.570000,42.139999,38.700001,39.349998,39.349998,86807300
2021-07-14,38.799999,39.130001,33.240002,33.430000,33.430000,137830700
2021-07-15,32.200001,37.400002,32.139999,36.000000,36.000000,199584500
2021-07-16,37.830002,38.549999,34.299999,34.959999,34.959999,126825700
2021-07-19,32.950001,35.340000,31.150000,34.619999,34.619999,112891300
2021-07-20,35.139999,44.389999,35.130001,43.090000,43.090000,168673400
2021-07-21,41.799999,46.549999,40.110001,40.779999,40.779999,158023700
2021-07-22,40.160000,41.740002,37.150002,37.240002,37.240002,93985900
2021-07-23,37.779999,38.400002,34.689999,36.990002,36.990002,85474800
2021-07-26,38.320000,40.849998,37.570000,40.290001,40.290001,97977600
2021-07-27,39.990002,40.299999,37.060001,38.009998,38.009998,55288900
2021-07-28,37.410000,39.560001,36.080002,38.900002,38.900002,71021400
2021-07-29,38.000000,40.250000,37.470001,38.130001,38.130001,59446200
2021-07-30,37.540001,39.189999,36.790001,37.020000,37.020000,52996200
2021-08-02,37.580002,38.480000,35.009998,35.200001,35.200001,59061700
2021-08-03,35.160000,35.209999,32.779999,33.590000,33.590000,61740100
2021-08-04,34.430000,35.240002,29.809999,29.840000,29.840000,85496600
2021-08-05,31.080000,34.119999,28.910000,33.509998,33.509998,108565100
2021-08-06,33.419998,33.580002,31.570000,32.700001,32.700001,52858800
2021-08-09,32.680000,35.380001,32.349998,33.799999,33.799999,81054600
2021-08-10,36.900002,37.160000,31.440001,31.750000,31.750000,116181500
2021-08-11,31.580000,31.910000,29.400000,31.549999,31.549999,69684300
2021-08-12,30.910000,34.099998,30.750000,33.070000,33.070000,71050000
2021-08-13,32.200001,34.480000,31.879999,33.470001,33.470001,57990800
2021-08-16,33.849998,36.180000,32.709999,35.689999,35.689999,86506600
2021-08-17,34.990002,38.779999,34.590000,37.160000,37.160000,86868900
2021-08-18,37.320000,38.700001,36.490002,36.549999,36.549999,57948000
2021-08-19,36.590000,36.779999,33.330002,33.820000,33.820000,47920600
2021-08-20,33.900002,34.599998,32.200001,34.410000,34.410000,55432600
2021-08-23,35.029999,37.930000,34.400002,36.779999,36.779999,75319300
2021-08-24,37.189999,48.200001,36.349998,44.259998,44.259998,228489600
2021-08-25,44.900002,48.299999,43.169998,43.959999,43.959999,209271500
2021-08-26,42.790001,44.779999,40.070000,40.310001,40.310001,109710200
2021-08-27,40.009998,41.580002,39.389999,40.840000,40.840000,72507400
2021-08-30,41.779999,45.709999,41.279999,43.330002,43.330002,108370900
2021-08-31,44.160000,47.160000,44.049999,47.130001,47.130001,127659600
2021-09-01,47.160000,47.849998,43.049999,43.689999,43.689999,82772400
2021-09-02,43.869999,44.900002,42.369999,44.380001,44.380001,67848800
2021-09-03,43.540001,44.799999,42.470001,44.020000,44.020000,52109500
2021-09-07,45.000000,47.930000,44.880001,47.830002,47.830002,102133700
2021-09-08,47.029999,49.400002,45.730000,47.400002,47.400002,97372900
2021-09-09,46.230000,49.000000,45.360001,48.520000,48.520000,85960900
2021-09-10,49.150002,51.700001,48.950001,50.160000,50.160000,90152700
2021-09-13,51.820000,52.790001,50.349998,51.689999,51.689999,75111000
2021-09-14,50.900002,51.549999,46.959999,47.299999,47.299999,65850300
2021-09-15,46.430000,47.740002,43.770000,46.840000,46.840000,76214200
2021-09-16,46.480000,48.689999,45.950001,46.040001,46.040001,57581900
2021-09-17,46.099998,46.380001,44.200001,44.200001,44.200001,68549000
2021-09-20,41.950001,43.330002,38.529999,40.290001,40.290001,70807600
2021-09-21,40.970001,41.490002,37.650002,38.820000,38.820000,64696300
2021-09-22,38.500000,40.570000,37.740002,40.080002,40.080002,52441300
2021-09-23,41.060001,41.849998,39.849998,39.980000,39.980000,41271100
2021-09-24,39.810001,40.520000,39.250000,40.009998,40.009998,32555900
2021-09-27,40.119999,40.630001,39.209999,39.299999,39.299999,31225500
2021-09-28,38.900002,39.130001,36.880001,36.990002,36.990002,39523300
2021-09-29,37.250000,38.259998,35.369999,35.540001,35.540001,43007800
2021-09-30,35.189999,41.779999,33.740002,38.060001,38.060001,102819800
2021-10-01,39.410000,40.130001,37.750000,38.459999,38.459999,65919000
2021-10-04,38.900002,39.029999,36.330002,36.770000,36.770000,39943200
2021-10-05,36.860001,38.099998,36.189999,37.060001,37.060001,37702800
2021-10-06,36.360001,37.650002,35.639999,36.830002,36.830002,35450500
2021-10-07,36.779999,38.549999,36.599998,38.139999,38.139999,37704300
2021-10-08,37.919998,38.779999,37.060001,37.189999,37.189999,29643100
2021-10-11,36.849998,38.660000,36.299999,37.250000,37.250000,37351400
2021-10-12,37.250000,37.570000,36.220001,36.820000,36.820000,25223400
2021-10-13,36.720001,38.150002,36.119999,37.910000,37.910000,33484500
2021-10-14,37.799999,41.099998,37.750000,40.070000,40.070000,67688200
2021-10-15,40.200001,41.790001,39.779999,40.740002,40.740002,46524700
2021-10-18,40.799999,43.630001,40.490002,43.029999,43.029999,50096300
2021-10-19,42.959999,44.439999,40.740002,40.799999,40.799999,52769200
2021-10-20,40.650002,41.750000,40.299999,40.880001,40.880001,31220000
2021-10-21,40.889999,41.939999,38.799999,39.240002,39.240002,33977600
2021-10-22,37.310001,37.669998,35.959999,36.599998,36.599998,46324200
2021-10-25,36.230000,37.849998,35.779999,36.830002,36.830002,30905400
2021-10-26,36.529999,37.400002,35.779999,36.049999,36.049999,27674800
2021-10-27,36.330002,36.790001,34.580002,34.759998,34.759998,25904100
2021-10-28,35.090000,36.070000,34.860001,35.230000,35.230000,23812200
2021-10-29,35.340000,36.630001,34.529999,35.369999,35.369999,32841500
2021-11-01,35.650002,37.189999,35.389999,37.070000,37.070000,34054600
2021-11-02,37.619999,38.799999,36.630001,38.790001,38.790001,44361700
2021-11-03,40.990002,44.209999,38.880001,40.790001,40.790001,82198000
2021-11-04,40.389999,41.299999,39.110001,40.049999,40.049999,28553700
2021-11-05,41.160000,41.970001,39.930000,41.700001,41.700001,40077000
2021-11-08,42.480000,45.950001,41.770000,45.060001,45.060001,70347800
2021-11-09,42.430000,42.599998,39.250000,39.930000,39.930000,37893500
2021-11-10,38.790001,40.869999,38.049999,38.290001,38.290001,32463600
2021-11-11,38.000000,40.200001,37.500000,39.459999,39.459999,30474100
2021-11-12,39.599998,40.439999,39.119999,40.000000,40.000000,23623100
2021-11-15,40.349998,43.230000,40.209999,42.680000,42.680000,39918800
2021-11-16,41.970001,44.430000,41.230000,42.599998,42.599998,38388200
2021-11-17,42.340000,44.000000,42.020000,42.130001,42.130001,23322000
2021-11-18,42.389999,42.400002,39.779999,40.410000,40.410000,25262000
2021-11-19,40.200001,41.380001,39.660000,40.869999,40.869999,20692300
2021-11-22,41.509998,42.990002,40.290001,41.240002,41.240002,28831800
2021-11-23,41.250000,42.029999,38.070000,39.160000,39.160000,27386500
2021-11-24,39.139999,39.330002,37.549999,38.889999,38.889999,18270800
2021-11-26,36.290001,38.160000,36.130001,37.630001,37.630001,19731800
2021-11-29,38.259998,38.430000,35.919998,36.840000,36.840000,24063800
2021-11-30,36.770000,37.049999,32.750000,33.939999,33.939999,41354800
2021-12-01,34.709999,34.939999,26.850000,28.570000,28.570000,63296100
2021-12-02,29.270000,31.219999,27.010000,30.280001,30.280001,54901300
2021-12-03,30.830000,31.059999,25.309999,29.010000,29.010000,66188600
2021-12-06,28.100000,30.469999,27.150000,28.790001,28.790001,45067400
2021-12-07,30.030001,31.680000,29.500000,31.040001,31.040001,47927100
2021-12-08,30.780001,33.919998,29.770000,32.349998,32.349998,46241500
2021-12-09,31.750000,32.950001,29.309999,29.459999,29.459999,36556800
2021-12-10,29.350000,29.930000,26.000000,27.440001,27.440001,58858900
2021-12-13,27.490000,27.629999,22.459999,23.240000,23.240000,84199800
2021-12-14,20.910000,25.120001,20.799999,24.500000,24.500000,107045800
2021-12-15,24.600000,25.280001,22.530001,24.660000,24.660000,53208200
2021-12-16,25.350000,25.870001,24.080000,24.450001,24.450001,43702400
2021-12-17,24.389999,30.709999,23.650000,29.120001,29.120001,144753100
2021-12-20,28.959999,30.700001,28.110001,29.700001,29.700001,66938200
2021-12-21,29.400000,32.230000,29.049999,30.299999,30.299999,46852500
2021-12-22,29.940001,30.480000,28.040001,28.680000,28.680000,36983800
2021-12-23,28.860001,29.430000,26.820000,28.520000,28.520000,37005900
2021-12-27,28.350000,29.389999,27.010000,28.700001,28.700001,30785600
2021-12-28,28.180000,29.740000,27.590000,27.719999,27.719999,31588100
2021-12-29,27.750000,28.350000,26.620001,27.950001,27.950001,30983400
2021-12-30,27.910000,30.190001,27.680000,28.940001,28.940001,36056400
2021-12-31,28.760000,29.400000,27.110001,27.200001,27.200001,23408000
2022-01-03,27.420000,28.129999,26.420000,26.520000,26.520000,26740900
2022-01-04,26.670000,26.670000,24.639999,25.490000,25.490000,33347900
2022-01-05,25.170000,25.299999,22.360001,22.750000,22.750000,45172100
2022-01-06,22.959999,23.770000,20.799999,22.459999,22.459999,59112700
2022-01-07,23.610001,24.299999,22.440001,22.990000,22.990000,49481000
2022-01-10,22.420000,22.870001,21.250000,22.780001,22.780001,37784000
2022-01-11,22.400000,23.750000,22.090000,22.790001,22.790001,36063800
2022-01-12,22.860001,23.360001,22.049999,22.719999,22.719999,27472100
2022-01-13,22.650000,23.150000,20.530001,20.660000,20.660000,41005000
2022-01-14,20.330000,21.080000,19.510000,20.570000,20.570000,56996600
2022-01-18,19.790001,19.889999,17.799999,18.840000,18.840000,55679700
2022-01-19,18.530001,19.420000,18.030001,18.320000,18.320000,35096800
2022-01-20,18.590000,20.160000,17.950001,18.070000,18.070000,51078700
2022-01-21,17.770000,18.559999,16.219999,17.969999,17.969999,65185700
2022-01-24,16.240000,17.290001,14.230000,16.639999,16.639999,82424700
2022-01-25,15.890000,16.620001,15.550000,16.020000,16.020000,42434600
2022-01-26,16.209999,18.160000,15.650000,15.940000,15.940000,76722900
2022-01-27,16.110001,16.590000,14.400000,14.520000,14.520000,50530200
2022-01-28,14.600000,15.250000,13.400000,15.060000,15.060000,53951600
2022-01-31,15.140000,16.250000,15.000000,16.059999,16.059999,41447900
2022-02-01,18.150000,18.709999,16.520000,16.860001,16.860001,124427700
2022-02-02,16.549999,17.070000,15.380000,15.420000,15.420000,48626000
2022-02-03,15.040000,15.850000,14.650000,14.870000,14.870000,39215100
2022-02-04,15.000000,15.700000,14.740000,15.350000,15.350000,32396500
2022-02-07,15.620000,16.000000,14.680000,14.910000,14.910000,29755200
2022-02-08,14.900000,16.820000,14.650000,16.430000,16.430000,51272500
2022-02-09,16.299999,19.000000,16.139999,18.940001,18.940001,75867400
2022-02-10,17.900000,20.959999,17.850000,18.590000,18.590000,98957400
2022-02-11,18.620001,19.660000,18.330000,18.809999,18.809999,68425900
2022-02-14,18.830000,19.360001,17.660000,17.750000,17.750000,46106700
2022-02-15,18.049999,19.549999,17.959999,19.480000,19.480000,39852000
2022-02-16,19.350000,20.580000,19.260000,19.670000,19.670000,49444600
2022-02-17,19.480000,20.209999,18.469999,18.940001,18.940001,40130200
2022-02-18,18.990000,19.200001,17.680000,17.900000,17.900000,31953500
2022-02-22,17.360001,18.129999,16.110001,16.469999,16.469999,42968500
2022-02-23,16.730000,17.020000,15.620000,15.730000,15.730000,30155900
2022-02-24,14.970000,17.770000,14.960000,17.680000,17.680000,54405700
2022-02-25,17.709999,17.860001,16.530001,17.660000,17.660000,36944100
2022-02-28,18.000000,19.340000,17.610001,18.860001,18.860001,42772300
2022-03-01,19.000000,19.430000,17.830000,18.320000,18.320000,44003000
2022-03-02,18.010000,18.690001,17.309999,18.530001,18.530001,35038200
2022-03-03,18.629999,18.700001,17.799999,18.059999,18.059999,24825900
2022-03-04,18.049999,18.320000,16.350000,16.570000,16.570000,39474600
2022-03-07,16.910000,17.100000,14.900000,15.210000,15.210000,39507300
2022-03-08,15.150000,16.260000,14.380000,15.390000,15.390000,35370400
2022-03-09,15.720000,16.270000,15.430000,15.710000,15.710000,25206400
2022-03-10,15.630000,15.810000,14.780000,15.320000,15.320000,25666500
2022-03-11,15.310000,15.400000,14.270000,14.300000,14.300000,29202900
2022-03-14,14.050000,14.160000,12.900000,13.560000,13.560000,32959800
2022-03-15,13.760000,14.690000,13.170000,14.480000,14.480000,40853100
2022-03-16,14.510000,15.690000,14.230000,15.230000,15.230000,39104500
2022-03-17,14.910000,15.610000,14.860000,15.190000,15.190000,24130400
2022-03-18,14.980000,15.900000,14.970000,15.800000,15.800000,31992100
2022-03-21,15.690000,16.549999,15.280000,15.860000,15.860000,34256700
2022-03-22,15.880000,18.910000,15.750000,18.260000,18.260000,81798900
2022-03-23,18.750000,22.350000,18.180000,20.740000,20.740000,170142600
2022-03-24,20.049999,20.570000,18.860001,20.230000,20.230000,68471700
2022-03-25,19.950001,21.700001,19.709999,20.240000,20.240000,71814700
2022-03-28,20.610001,29.730000,20.530001,29.330000,29.330000,226704100
2022-03-29,30.030001,34.330002,26.410000,29.440001,29.440001,212293100
2022-03-30,28.559999,29.230000,25.350000,25.680000,25.680000,95384200
2022-03-31,24.770000,25.920000,23.260000,24.639999,24.639999,89239000
2022-04-01,25.129999,25.280001,22.340000,23.299999,23.299999,65735700
2022-04-04,23.480000,23.750000,21.940001,23.309999,23.309999,51458400
2022-04-05,23.180000,23.959999,21.000000,21.209999,21.209999,41624100
2022-04-06,20.650000,21.920000,20.010000,20.389999,20.389999,52212200
2022-04-07,20.629999,20.940001,18.629999,19.730000,19.730000,53370500
2022-04-08,19.700001,19.700001,18.129999,18.240000,18.240000,42674700
2022-04-11,18.030001,18.820000,17.719999,18.719999,18.719999,37554600
2022-04-12,18.879999,19.010000,17.200001,17.420000,17.420000,42073100
2022-04-13,17.549999,18.580000,16.940001,18.530001,18.530001,36748800
2022-04-14,18.270000,18.690001,17.900000,18.020000,18.020000,25333700
2022-04-18,18.100000,18.190001,16.969999,17.480000,17.480000,23892600
2022-04-19,17.379999,18.920000,17.100000,18.680000,18.680000,31744900
2022-04-20,18.400000,18.660000,17.299999,17.340000,17.340000,23913500
2022-04-21,17.410000,18.070000,16.660000,16.850000,16.850000,26372700
2022-04-22,17.120001,17.610001,16.100000,16.520000,16.520000,26431700
2022-04-25,16.389999,17.030001,16.290001,16.959999,16.959999,26444200
2022-04-26,16.889999,17.090000,15.490000,15.500000,15.500000,24732800
2022-04-27,15.390000,16.250000,15.250000,15.850000,15.850000,26605900
2022-04-28,15.710000,16.129999,14.700000,15.640000,15.640000,29857700
2022-04-29,15.630000,16.049999,15.220000,15.300000,15.300000,21342700
2022-05-02,15.100000,15.490000,14.610000,15.260000,15.260000,23883200
2022-05-03,15.160000,16.110001,14.730000,15.510000,15.510000,31834300
2022-05-04,15.220000,15.910000,14.680000,15.720000,15.720000,26421700
2022-05-05,15.680000,15.790000,14.360000,14.690000,14.690000,26987600
2022-05-06,14.660000,14.840000,13.520000,13.760000,13.760000,33033100
2022-05-09,13.630000,13.630000,12.430000,12.520000,12.520000,40732200
2022-05-10,13.150000,14.010000,11.500000,11.840000,11.840000,55693400
2022-05-11,11.560000,11.650000,9.910000,10.370000,10.370000,58508700
2022-05-12,10.050000,13.710000,9.700000,11.200000,11.200000,104887800
2022-05-13,12.110000,12.490000,11.490000,11.810000,11.810000,58129300
2022-05-16,11.900000,12.660000,11.500000,11.710000,11.710000,40960000
2022-05-17,12.060000,12.920000,11.840000,12.900000,12.900000,38183500
2022-05-18,12.730000,14.220000,12.510000,12.760000,12.760000,53729400
2022-05-19,12.770000,13.500000,12.660000,13.080000,13.080000,50443600
2022-05-20,13.180000,13.350000,11.430000,12.030000,12.030000,41387900
2022-05-23,12.010000,12.020000,11.450000,11.580000,11.580000,24854400
2022-05-24,11.330000,11.390000,10.300000,10.390000,10.390000,37689300
2022-05-25,10.480000,11.880000,10.400000,11.880000,11.880000,53628000
2022-05-26,11.750000,12.880000,11.590000,12.230000,12.230000,71002400
2022-05-27,12.650000,14.470000,12.400000,14.430000,14.430000,89906000
2022-05-31,15.750000,16.129999,13.930000,14.340000,14.340000,106975100
2022-06-01,14.010000,14.320000,12.800000,12.810000,12.810000,55539700
2022-06-02,12.690000,13.540000,12.300000,13.300000,13.300000,45309900
2022-06-03,12.780000,13.060000,12.180000,12.450000,12.450000,39226000
2022-06-06,12.420000,12.580000,11.770000,11.950000,11.950000,34537900
2022-06-07,12.020000,13.250000,11.810000,13.070000,13.070000,40370600
2022-06-08,12.800000,14.250000,12.710000,13.520000,13.520000,51742200
2022-06-09,13.370000,13.530000,12.570000,12.780000,12.780000,32254800
2022-06-10,12.630000,12.730000,12.070000,12.430000,12.430000,26509900
2022-06-13,11.910000,12.200000,11.090000,11.480000,11.480000,27916000
2022-06-14,11.520000,12.050000,11.110000,11.920000,11.920000,25723500
2022-06-15,11.550000,12.970000,11.540000,12.770000,12.770000,37213600
2022-06-16,12.220000,12.500000,11.430000,11.790000,11.790000,26518100
2022-06-17,11.860000,12.710000,11.860000,12.530000,12.530000,33042300
2022-06-21,12.750000,12.930000,12.220000,12.500000,12.500000,30357400
2022-06-22,12.500000,13.220000,12.370000,12.600000,12.600000,26660700
2022-06-23,12.790000,12.810000,11.440000,12.050000,12.050000,36073100
2022-06-24,12.170000,12.570000,11.930000,12.470000,12.470000,80759000
2022-06-27,12.580000,14.750000,12.310000,14.130000,14.130000,77601900
2022-06-28,14.000000,14.300000,13.310000,13.380000,13.380000,39677100
2022-06-29,13.070000,13.890000,12.800000,13.650000,13.650000,27690400
2022-06-30,13.400000,13.850000,12.910000,13.550000,13.550000,25348300
2022-07-01,13.480000,14.310000,13.260000,13.530000,13.530000,30952600
2022-07-05,13.550000,13.580000,12.560000,12.780000,12.780000,30261000
2022-07-06,12.680000,13.040000,12.160000,12.570000,12.570000,25762100
2022-07-07,12.540000,14.690000,12.410000,14.480000,14.480000,62763200
2022-07-08,13.890000,15.320000,13.840000,14.660000,14.660000,48920800
2022-07-11,14.490000,14.990000,14.070000,14.950000,14.950000,32394400
2022-07-12,14.950000,16.139999,14.810000,15.600000,15.600000,52835300
2022-07-13,15.050000,15.930000,14.900000,15.140000,15.140000,36666700
2022-07-14,14.950000,15.680000,14.730000,15.060000,15.060000,35302700
2022-07-15,15.270000,15.390000,14.710000,15.370000,15.370000,26144400
2022-07-18,15.600000,16.959999,15.530000,16.540001,16.540001,54040500
